time,aug_factor,u00_prob,u07_prob,u10_prob,u17_prob,u34_prob,u35_prob,u47_prob,u00gth,u07gth,u10gth,u17gth,u34gth,u35gth,u47gth,mse,entropy,model,feature num,random seed
1665463493,1,0,0,0,0.014285714,0,0,0,0,0,0,1,0,0,0,0.138804665,0,LDA,6,0
1665463493,1,0.04137931,0.019230769,0.014084507,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105282046,1.418920906,QDA,6,0
1665463493,1,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,SVM,6,0
1665463493,1,0.04137931,0.038461538,0.056338028,0.128571429,0.014925373,0.086956522,0.044776119,0,0,0,1,0,0,0,0.110791767,2.565872125,KNN,6,0
1665463495,2,0.062068966,0.076923077,0.112676056,0.157142857,0.029850746,0.130434783,0.134328358,0,0,0,1,0,0,0,0.10983174,2.664879661,RF,6,0
1665463495,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
1665463495,2,0.062068966,0.115384615,0.084507042,0.1,0.029850746,0.144927536,0.119402985,0,0,0,1,0,0,0,0.124351391,2.688618548,DT,6,0
1665463495,2,0.006896552,0,0.042253521,0.071428571,0,0.028985507,0,0,0,0,1,0,0,0,0.123559711,1.687851748,GBDT,6,0
1665463495,2,0,0,0,0.1,0,0.028985507,0,0,0,0,1,0,0,0,0.115834309,0.768691303,AB,6,0
1665463495,2,0.04137931,0.019230769,0.014084507,0.142857143,0,0.014492754,0.014925373,0,0,0,1,0,0,0,0.105343875,1.895817279,GNB,6,0
1665463495,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LDA,6,0
1665463495,2,0.013793103,0.019230769,0,0.114285714,0,0,0,0,0,0,1,0,0,0,0.112149981,0.987502688,QDA,6,0
1665463495,2,0,0,0,0.057142857,0,0,0,0,0,0,1,0,0,0,0.126997085,0,SVM,6,0
1665463495,2,0.068965517,0.057692308,0.084507042,0.157142857,0.029850746,0.173913043,0.089552239,0,0,0,1,0,0,0,0.109255809,2.617610376,KNN,6,0
1665463496,3,0.068965517,0.057692308,0.126760563,0.228571429,0.074626866,0.173913043,0.179104478,0,0,0,1,0,0,0,0.098164037,2.645347543,RF,6,0
1665463496,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
1665463496,3,0.055172414,0.115384615,0.098591549,0.071428571,0.029850746,0.15942029,0.119402985,0,0,0,1,0,0,0,0.132697966,2.659438391,DT,6,0
1665463496,3,0.013793103,0,0.028169014,0.085714286,0,0.028985507,0,0,0,0,1,0,0,0,0.119677467,1.68017025,GBDT,6,0
1665463496,3,0.020689655,0,0.014084507,0.128571429,0,0,0,0,0,0,1,0,0,0,0.108573456,0.954277919,AB,6,0
1665463496,3,0.048275862,0.019230769,0.028169014,0.142857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.105702711,2.171805124,GNB,6,0
1665463496,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LDA,6,0
1665463496,3,0.006896552,0.019230769,0,0.114285714,0,0,0,0,0,0,1,0,0,0,0.112129597,0.848125028,QDA,6,0
1665463496,3,0,0,0,0.071428571,0,0,0,0,0,0,1,0,0,0,0.123177843,0,SVM,6,0
1665463496,3,0.068965517,0.038461538,0.084507042,0.214285714,0.059701493,0.115942029,0.059701493,0,0,0,1,0,0,0,0.093042143,2.586530217,KNN,6,0
1665463498,4,0.062068966,0.076923077,0.098591549,0.171428571,0.029850746,0.115942029,0.149253731,0,0,0,1,0,0,0,0.106090131,2.647563094,RF,6,0
1665463498,4,0,0,0,0.085714286,0,0,0,0,0,0,1,0,0,0,0.11941691,0,LR,6,0
1665463498,4,0.068965517,0.134615385,0.112676056,0.171428571,0.029850746,0.115942029,0.134328358,0,0,0,1,0,0,0,0.107783111,2.675917719,DT,6,0
1665463498,4,0.027586207,0,0.056338028,0.114285714,0,0.043478261,0.014925373,0,0,0,1,0,0,0,0.112933985,2.01848058,GBDT,6,0
1665463498,4,0.04137931,0,0.042253521,0.2,0,0.028985507,0,0,0,0,1,0,0,0,0.092048252,1.506781226,AB,6,0
1665463498,4,0.048275862,0.019230769,0.028169014,0.142857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.105702711,2.171805124,GNB,6,0
1665463498,4,0,0,0,0.085714286,0,0,0,0,0,0,1,0,0,0,0.11941691,0,LDA,6,0
1665463498,4,0.04137931,0.019230769,0.014084507,0.142857143,0,0.014492754,0,0,0,0,1,0,0,0,0.105312052,1.667420889,QDA,6,0
1665463498,4,0.013793103,0,0,0.1,0,0.014492754,0,0,0,0,1,0,0,0,0.11577147,0.981456285,SVM,6,0
1665463498,4,0.110344828,0.115384615,0.23943662,0.285714286,0.104477612,0.246376812,0.164179104,0,0,0,1,0,0,0,0.09879935,2.699663904,KNN,6,0
1665463500,5,0.068965517,0.096153846,0.112676056,0.2,0.044776119,0.217391304,0.179104478,0,0,0,1,0,0,0,0.106862856,2.635228368,RF,6,0
1665463500,5,0,0,0,0.085714286,0,0,0,0,0,0,1,0,0,0,0.11941691,0,LR,6,0
1665463500,5,0.075862069,0.134615385,0.154929577,0.1,0.029850746,0.202898551,0.134328358,0,0,0,1,0,0,0,0.131140361,2.65190554,DT,6,0
1665463500,5,0.034482759,0,0.056338028,0.114285714,0.014925373,0.057971014,0.014925373,0,0,0,1,0,0,0,0.113237,2.250730764,GBDT,6,0
1665463500,5,0.055172414,0,0.042253521,0.185714286,0,0.043478261,0.014925373,0,0,0,1,0,0,0,0.095714815,1.851697272,AB,6,0
1665463500,5,0.048275862,0.019230769,0.028169014,0.142857143,0,0.028985507,0.029850746,0,0,0,1,0,0,0,0.105702711,2.171805124,GNB,6,0
1665463500,5,0,0,0.014084507,0.085714286,0,0,0,0,0,0,1,0,0,0,0.119445249,0.587188025,LDA,6,0
1665463500,5,0.04137931,0.019230769,0.014084507,0.114285714,0,0.043478261,0,0,0,0,1,0,0,0,0.1126658,1.941722273,QDA,6,0
1665463500,5,0.020689655,0,0,0.114285714,0,0.014492754,0.029850746,0,0,0,1,0,0,0,0.112288424,1.497569099,SVM,6,0
1665463500,5,0.124137931,0.115384615,0.169014085,0.257142857,0.104477612,0.246376812,0.119402985,0,0,0,1,0,0,0,0.099285787,2.714796762,KNN,6,0
1665463529,0,0.006896552,0.057692308,0.028169014,0.071428571,0,0.014492754,0.044776119,0,0,0,1,0,0,0,0.1240899,2.282535271,RF,4,0
1665463529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,4,0
1665463529,0,0.062068966,0.192307692,0.23943662,0.2,0.044776119,0.057971014,0.104477612,0,0,0,1,0,0,0,0.107777973,2.561822029,DT,4,0
1665463529,0,0,0.057692308,0,0.057142857,0,0,0,0,0,0,1,0,0,0,0.127472571,0.999983486,GBDT,4,0
