,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
25,1642474314,25,0.613793103,0.192307692,0.366197183,0.4,0.373134328,0.31884058,0.52238806,0,0,0,1,0,0,0,0.203086061,2.732721562,DNN,78,0
26,1642474336,26,0.131034483,0.153846154,0.183098592,0.271428571,0.104477612,0.246376812,0.23880597,0,0,0,1,0,0,0,0.104832213,2.73577606,DNN,78,0
,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
0,1642474402,0,0.034482759,0.019230769,0.042253521,0.214285714,0.074626866,0.101449275,0.029850746,0,0,0,1,0,0,0,0.091063339,2.36220997,DNN,10,0
1,1642474416,1,0.048275862,0.057692308,0.126760563,0.285714286,0.014925373,0.057971014,0.014925373,0,0,0,1,0,0,0,0.076533922,2.18414927,DNN,10,0
2,1642474430,2,0.034482759,0.173076923,0.183098592,0.257142857,0.074626866,0.086956522,0.104477612,0,0,0,1,0,0,0,0.091507527,2.588255408,DNN,10,0
3,1642474445,3,0.020689655,0.076923077,0.169014085,0.157142857,0.029850746,0.014492754,0.014925373,0,0,0,1,0,0,0,0.106663288,2.228901056,DNN,10,0
4,1642474459,4,0.068965517,0.134615385,0.169014085,0.228571429,0.134328358,0.144927536,0.119402985,0,0,0,1,0,0,0,0.099978645,2.734916871,DNN,10,0
5,1642474474,5,0.055172414,0.134615385,0.070422535,0.242857143,0.074626866,0.130434783,0.089552239,0,0,0,1,0,0,0,0.089998849,2.632406658,DNN,10,0
6,1642474489,6,0.062068966,0.134615385,0.14084507,0.214285714,0.223880597,0.188405797,0.104477612,0,0,0,1,0,0,0,0.107956138,2.70703537,DNN,10,0
7,1642474505,7,0.117241379,0.25,0.225352113,0.371428571,0.208955224,0.202898551,0.208955224,0,0,0,1,0,0,0,0.092946221,2.7393632,DNN,10,0
8,1642474521,8,0.124137931,0.173076923,0.197183099,0.371428571,0.149253731,0.202898551,0.134328358,0,0,0,1,0,0,0,0.080119667,2.705423061,DNN,10,0
9,1642474537,9,0.124137931,0.173076923,0.183098592,0.371428571,0.059701493,0.144927536,0.074626866,0,0,0,1,0,0,0,0.07201863,2.57974571,DNN,10,0
10,1642474553,10,0.027586207,0.192307692,0.070422535,0.128571429,0.104477612,0.115942029,0.074626866,0,0,0,1,0,0,0,0.118859661,2.638299223,DNN,10,0
11,1642474570,11,0.013793103,0.076923077,0.098591549,0.142857143,0.134328358,0.173913043,0.044776119,0,0,0,1,0,0,0,0.114402334,2.561815028,DNN,10,0
12,1642474586,12,0.137931034,0.173076923,0.154929577,0.328571429,0.149253731,0.202898551,0.104477612,0,0,0,1,0,0,0,0.085451452,2.715883217,DNN,10,0
13,1642474604,13,0.103448276,0.25,0.14084507,0.371428571,0.223880597,0.202898551,0.179104478,0,0,0,1,0,0,0,0.087358525,2.70625031,DNN,10,0
14,1642474621,14,0.165517241,0.230769231,0.267605634,0.3,0.253731343,0.188405797,0.164179104,0,0,0,1,0,0,0,0.109870613,2.772596816,DNN,10,0
15,1642474639,15,0.117241379,0.211538462,0.267605634,0.357142857,0.119402985,0.202898551,0.119402985,0,0,0,1,0,0,0,0.087579159,2.684563578,DNN,10,0
16,1642474657,16,0.124137931,0.153846154,0.323943662,0.328571429,0.194029851,0.231884058,0.179104478,0,0,0,1,0,0,0,0.1026187,2.726035735,DNN,10,0
17,1642474675,17,0.137931034,0.211538462,0.338028169,0.314285714,0.179104478,0.260869565,0.23880597,0,0,0,1,0,0,0,0.115057179,2.751554532,DNN,10,0
18,1642474694,18,0.151724138,0.230769231,0.295774648,0.385714286,0.179104478,0.231884058,0.194029851,0,0,0,1,0,0,0,0.094942921,2.742097567,DNN,10,0
